year,name,category,ratio_f,number_f,ratio_m,number_m
2003,Jordan,2: very neutral,0.354,5650,0.646,10329
2003,Riley,1: most neutral,0.51,4243,0.49,4077
2003,Avery,2: very neutral,0.698,3687,0.302,1596
2003,Peyton,1: most neutral,0.49,1700,0.51,1768
2003,Payton,1: most neutral,0.561,1619,0.439,1268
2003,Skyler,1: most neutral,0.432,1132,0.568,1486
2003,Casey,1: most neutral,0.441,987,0.559,1253
2003,Reese,1: most neutral,0.584,996,0.416,709
2003,Jaiden,1: most neutral,0.428,727,0.572,973
2003,Harley,2: very neutral,0.619,996,0.381,613
2003,Amari,1: most neutral,0.561,784,0.439,613
2003,Justice,1: most neutral,0.5,666,0.5,666
2003,Jessie,1: most neutral,0.496,618,0.504,627
2003,Sage,2: very neutral,0.681,748,0.319,351
2003,Jaylin,2: very neutral,0.392,411,0.608,637
2003,Dominique,2: very neutral,0.672,673,0.328,328
2003,Phoenix,2: very neutral,0.373,237,0.627,398
2003,Devyn,1: most neutral,0.465,283,0.535,325
2003,Emerson,1: most neutral,0.551,324,0.449,264
2003,Rowan,1: most neutral,0.428,245,0.572,327
2003,Rory,1: most neutral,0.425,234,0.575,316
2003,Shea,2: very neutral,0.608,318,0.392,205
2003,Armani,1: most neutral,0.488,255,0.512,268
2003,Elisha,2: very neutral,0.334,169,0.666,337
2003,London,2: very neutral,0.622,314,0.378,191
2003,Baby,1: most neutral,0.5,245,0.5,245
2003,Reilly,1: most neutral,0.585,276,0.415,196
2003,Tracy,2: very neutral,0.676,303,0.324,145
2003,Campbell,2: very neutral,0.613,260,0.387,164
2003,Robin,2: very neutral,0.695,255,0.305,112
2003,Jorden,2: very neutral,0.308,107,0.692,240
2003,Ryley,1: most neutral,0.545,174,0.455,145
2003,Kamari,2: very neutral,0.351,101,0.649,187
2003,Jackie,1: most neutral,0.479,135,0.521,147
2003,Emery,1: most neutral,0.56,155,0.44,122
2003,Marion,1: most neutral,0.43,119,0.57,158
2003,Austyn,2: very neutral,0.388,97,0.612,153
2003,Milan,1: most neutral,0.56,139,0.44,109
2003,Joan,1: most neutral,0.428,104,0.572,139
2003,Shay,1: most neutral,0.565,131,0.435,101
2003,Nikita,2: very neutral,0.659,153,0.341,79
2003,Rian,1: most neutral,0.427,94,0.573,126
2003,Jaydin,2: very neutral,0.315,68,0.685,148
2003,Blair,2: very neutral,0.685,148,0.315,68
2003,Santana,2: very neutral,0.38,81,0.62,132
2003,Kerry,1: most neutral,0.472,100,0.528,112
2003,Tegan,2: very neutral,0.695,137,0.305,60
2003,Emory,1: most neutral,0.518,99,0.482,92
2003,Yael,1: most neutral,0.421,80,0.579,110
2003,Landry,1: most neutral,0.56,102,0.44,80
